,0,1,2,3,4,5,6,7,8
D1_NEW_ENGLAD,CONNECTICUT,MAINE,MASSACHUSETTS,NEW HAMPSHIRE,RHODE ISLAND,VERMONT,,,
D2_MID-ATLANTIC,NEW JERSEY,NEW YORK,PENNSYLVANIA,,,,,,
D3_EAST_NORTH_CENTRAL,ILLINOIS,INDIANA,MICHIGAN,OHIO,WISCONSIN,,,,
D4_WEST_NORTH_CENTRAL,IOWA,KANSAS,MINNESOTTA,MISSOURI,NEBRASKA,NORTH DAKOTA,SOUTH DAKOTA,,
D5_SOUTCH_ATLANTIC,DELAWARE,FLORIDA,GEORGIA,MARYLAND,NORTH CAROLINA,SOUTH CAROLINA,VIRGINIA,DISTRICT OF COLUMBIA,WEST VIRGINIA
D6_EAST_SOUTH_CENTRAL,ALABAMA,KENTUCKY,MISSISSIPPI,TENNESSEE,,,,,
D7_WEST_SOUTH_CENTRAL,ARKANSAS,LOUISIANA,OKLAHOMA,TEXAS,,,,,
D8_MOUNTAIN,ARIZONA,COLORADO,IDAHO,MONTANA,NEVADA,NEW MEXICO,UTAH,WYOMING,
D9_PACIFIC,ALASKA,CALIFORNIA,HAWAII,OREGON,WASHINGTON,,,,
